policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value
283,A,San Francisco,Fire Resistive,Tile,1986 to 1999,4000 and Above,9,$1.6M to $2M
284,E,San Francisco,Fire Resistive,Shingle,2000 and After,4000 and Above,10,$1.6M to $2M
285,B,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,4,Less than $400K
286,G,Alameda,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,5,$400K to $800K
287,F,Santa Clara,Fire Resistive,Wood,2000 and After,Below 1500,1,$1.6M to $2M
288,A,Napa,Frame,Tile,2000 and After,Below 1500,2,$800K to $1.2M
289,A,Contra Costa,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,3,$800K to $1.2M
290,H,Alameda,Fire Resistive,Metal,1986 to 1999,4000 and Above,8,Less than $400K
291,A,San Mateo,Fire Resistive,Metal,2000 and After,4000 and Above,10,Less than $400K
292,J,Santa Clara,Frame,Wood,1985 and Before,Below 1500,1,$800K to $1.2M
293,F,Solano,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M
294,F,Contra Costa,Frame,Tile,1985 and Before,Between 3000 and 4000,8,$800K to $1.2M
295,D,San Francisco,Frame,Shingle,1986 to 1999,4000 and Above,1,$1.6M to $2M
296,A,Santa Clara,Frame,Tile,2000 and After,4000 and Above,2,$1.2M to $1.6M
297,B,San Mateo,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,1,$400K to $800K
298,H,San Mateo,Fire Resistive,Metal,1985 and Before,4000 and Above,5,$800K to $1.2M
299,I,Santa Clara,Frame,Wood,1986 to 1999,4000 and Above,4,$400K to $800K
300,F,Sonoma,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,9,$1.2M to $1.6M
301,C,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,5,$1.2M to $1.6M
302,F,Marin,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,2,$1.2M to $1.6M
303,E,San Francisco,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,9,$400K to $800K
304,F,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,4,$400K to $800K
305,A,Santa Clara,Fire Resistive,Tile,2000 and After,4000 and Above,7,$1.6M to $2M
306,G,Alameda,Frame,Tile,1986 to 1999,4000 and Above,4,$1.2M to $1.6M
307,A,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,5,$400K to $800K
308,D,Alameda,Frame,Metal,2000 and After,Between 3000 and 4000,9,$800K to $1.2M
309,A,Contra Costa,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,2,$1.6M to $2M
310,D,San Mateo,Non-Combustible Masonry,Metal,2000 and After,Below 1500,10,$1.2M to $1.6M
311,I,Sonoma,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,1,$1.2M to $1.6M
312,B,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,5,$1.6M to $2M
313,F,Solano,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,3,$800K to $1.2M
314,I,Sonoma,Fire Resistive,Wood,2000 and After,Below 1500,1,Less than $400K
315,F,Alameda,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,1,$1.2M to $1.6M
316,B,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,3,$400K to $800K
317,F,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,4,Less than $400K
318,H,Santa Clara,Fire Resistive,Metal,2000 and After,Below 1500,4,$1.6M to $2M
319,C,Solano,Frame,Tile,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M
320,B,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,2,$400K to $800K
321,J,Santa Clara,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,4,Less than $400K
322,G,Alameda,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,6,$800K to $1.2M
323,G,Santa Clara,Frame,Wood,1986 to 1999,Between 3000 and 4000,10,Less than $400K
324,C,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,4,$1.2M to $1.6M
325,B,Santa Clara,Fire Resistive,Wood,1985 and Before,Below 1500,1,$1.6M to $2M
326,I,Alameda,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,5,$800K to $1.2M
327,I,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,6,$800K to $1.2M
328,I,Alameda,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,9,$800K to $1.2M
329,H,San Mateo,Fire Resistive,Wood,1985 and Before,4000 and Above,7,Less than $400K
330,J,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,4,$1.2M to $1.6M
331,F,Santa Clara,Fire Resistive,Shingle,1985 and Before,4000 and Above,8,$800K to $1.2M
332,H,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,2,$1.6M to $2M
333,G,Sonoma,Frame,Tile,1985 and Before,Between 3000 and 4000,2,$1.2M to $1.6M
334,G,Alameda,Frame,Shingle,1986 to 1999,Between 1500 and 3000,7,Less than $400K
335,E,San Francisco,Fire Resistive,Metal,1985 and Before,4000 and Above,5,Less than $400K
336,J,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,8,Less than $400K
337,D,Solano,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,2,$800K to $1.2M
338,H,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,1,$1.6M to $2M
339,B,Alameda,Fire Resistive,Tile,2000 and After,Below 1500,9,$1.6M to $2M
340,H,San Mateo,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,6,$400K to $800K
341,B,Solano,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,9,$1.6M to $2M
342,D,Marin,Frame,Shingle,1985 and Before,4000 and Above,7,$1.2M to $1.6M
343,H,San Francisco,Frame,Metal,1985 and Before,4000 and Above,6,$1.2M to $1.6M
344,H,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,9,$400K to $800K
345,E,San Francisco,Frame,Shingle,1986 to 1999,Below 1500,1,$1.2M to $1.6M
346,I,Sonoma,Fire Resistive,Metal,1986 to 1999,Below 1500,3,$1.6M to $2M
347,J,San Mateo,Frame,Tile,2000 and After,Below 1500,9,$1.2M to $1.6M
348,E,Alameda,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,4,$400K to $800K
349,C,Sonoma,Frame,Wood,1985 and Before,4000 and Above,9,$1.2M to $1.6M
350,F,Contra Costa,Fire Resistive,Tile,1986 to 1999,4000 and Above,5,$1.6M to $2M
351,J,San Mateo,Fire Resistive,Metal,2000 and After,Below 1500,6,$800K to $1.2M
352,I,Solano,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,5,$800K to $1.2M
353,J,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,4,$1.6M to $2M
354,D,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,2,$1.2M to $1.6M
355,B,Santa Clara,Fire Resistive,Shingle,1985 and Before,Below 1500,6,$400K to $800K
356,H,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,3,$1.6M to $2M
357,F,Santa Clara,Frame,Tile,1985 and Before,Between 1500 and 3000,1,$1.2M to $1.6M
358,G,Contra Costa,Fire Resistive,Tile,2000 and After,4000 and Above,7,$800K to $1.2M
359,C,Marin,Frame,Wood,2000 and After,Between 3000 and 4000,8,$800K to $1.2M
360,H,Solano,Frame,Wood,1986 to 1999,Between 3000 and 4000,6,$1.2M to $1.6M
361,F,San Francisco,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,4,$400K to $800K
362,B,Sonoma,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,7,$400K to $800K
363,I,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,5,$1.6M to $2M
364,C,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,9,$1.6M to $2M
365,H,Alameda,Fire Resistive,Metal,2000 and After,Below 1500,1,$800K to $1.2M
366,H,Contra Costa,Fire Resistive,Wood,1986 to 1999,Below 1500,3,$1.6M to $2M
367,E,Alameda,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,3,Less than $400K
368,D,Alameda,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,7,$400K to $800K
369,E,Solano,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,7,$1.2M to $1.6M
370,G,Sonoma,Frame,Wood,2000 and After,Between 3000 and 4000,6,$400K to $800K
371,F,San Mateo,Fire Resistive,Shingle,1986 to 1999,Below 1500,4,$400K to $800K
372,H,Solano,Frame,Shingle,2000 and After,Between 3000 and 4000,4,Less than $400K
373,G,San Francisco,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,4,$1.6M to $2M
374,H,San Mateo,Frame,Shingle,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M
375,B,Santa Clara,Frame,Wood,2000 and After,Between 1500 and 3000,10,$1.6M to $2M
376,J,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,6,Less than $400K
377,J,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,4,$400K to $800K
378,F,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,6,$400K to $800K
379,E,Sonoma,Frame,Metal,1985 and Before,Between 1500 and 3000,1,$800K to $1.2M
380,A,Santa Clara,Fire Resistive,Metal,2000 and After,Below 1500,5,$1.2M to $1.6M
381,E,San Francisco,Frame,Wood,1986 to 1999,4000 and Above,1,$800K to $1.2M
382,A,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,8,Less than $400K
383,H,Napa,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,4,$1.6M to $2M
384,F,San Mateo,Fire Resistive,Metal,2000 and After,4000 and Above,6,$800K to $1.2M
385,B,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,3,$1.6M to $2M
386,J,Contra Costa,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,1,$800K to $1.2M
387,E,San Francisco,Fire Resistive,Metal,1986 to 1999,4000 and Above,8,$800K to $1.2M
388,G,Santa Clara,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,8,$1.2M to $1.6M
389,B,Alameda,Fire Resistive,Shingle,1985 and Before,4000 and Above,1,$1.2M to $1.6M
390,E,Alameda,Frame,Tile,2000 and After,Between 1500 and 3000,4,$400K to $800K
391,J,San Mateo,Frame,Tile,2000 and After,Between 3000 and 4000,2,$800K to $1.2M
392,J,San Francisco,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,10,$800K to $1.2M
393,A,Alameda,Frame,Wood,2000 and After,4000 and Above,8,$800K to $1.2M
394,B,San Mateo,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,6,$1.2M to $1.6M
395,J,San Francisco,Fire Resistive,Metal,1985 and Before,Below 1500,8,$800K to $1.2M
396,H,San Mateo,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,4,$1.2M to $1.6M
397,B,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,10,$1.6M to $2M
398,A,Santa Clara,Frame,Metal,2000 and After,Below 1500,6,$1.6M to $2M
399,C,Alameda,Frame,Tile,2000 and After,Below 1500,1,Less than $400K
400,A,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,3,Less than $400K
401,D,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,1,Less than $400K
402,H,Alameda,Frame,Wood,2000 and After,4000 and Above,3,Less than $400K
403,E,Solano,Frame,Shingle,1985 and Before,4000 and Above,10,Less than $400K
404,A,Alameda,Non-Combustible Masonry,Wood,2000 and After,Below 1500,2,$400K to $800K
405,B,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,5,$1.2M to $1.6M
406,C,Santa Clara,Frame,Metal,1986 to 1999,4000 and Above,3,$1.6M to $2M
407,C,Santa Clara,Frame,Wood,1985 and Before,Below 1500,9,$1.2M to $1.6M
408,G,Santa Clara,Frame,Wood,2000 and After,Below 1500,4,$1.6M to $2M
409,H,Contra Costa,Frame,Tile,2000 and After,Between 1500 and 3000,1,$400K to $800K
410,D,Alameda,Frame,Tile,1986 to 1999,Below 1500,9,$1.2M to $1.6M
411,E,San Mateo,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,10,$1.2M to $1.6M
412,G,San Mateo,Frame,Wood,1986 to 1999,Between 1500 and 3000,10,$800K to $1.2M
413,I,Alameda,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,1,$1.2M to $1.6M
414,I,San Mateo,Frame,Wood,2000 and After,Below 1500,6,$1.2M to $1.6M
415,G,Alameda,Frame,Shingle,2000 and After,Between 3000 and 4000,3,$800K to $1.2M
416,F,San Francisco,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,2,$800K to $1.2M
417,G,San Francisco,Frame,Metal,1986 to 1999,Between 1500 and 3000,3,$1.2M to $1.6M
418,E,Napa,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,2,$1.6M to $2M
419,D,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,2,Less than $400K
420,A,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,2,$800K to $1.2M
421,F,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M
422,I,Alameda,Fire Resistive,Shingle,2000 and After,Below 1500,3,$1.6M to $2M
423,C,Alameda,Frame,Wood,1985 and Before,4000 and Above,1,$400K to $800K
424,B,Solano,Frame,Tile,1985 and Before,Between 3000 and 4000,2,$400K to $800K
425,I,Alameda,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M
426,B,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,2,$400K to $800K
427,B,San Mateo,Fire Resistive,Tile,1985 and Before,4000 and Above,5,$1.6M to $2M
428,H,Alameda,Fire Resistive,Wood,1986 to 1999,4000 and Above,2,$400K to $800K
429,C,Santa Clara,Frame,Wood,2000 and After,Between 3000 and 4000,3,$800K to $1.2M
430,B,Alameda,Frame,Wood,2000 and After,Between 3000 and 4000,8,$1.2M to $1.6M
431,I,Alameda,Fire Resistive,Metal,2000 and After,4000 and Above,2,$400K to $800K
432,G,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,5,$1.2M to $1.6M
433,B,Santa Clara,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,5,$1.2M to $1.6M
434,E,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,6,$1.2M to $1.6M
435,D,Alameda,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,8,Less than $400K
436,C,San Mateo,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,1,$1.2M to $1.6M
437,J,Alameda,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,2,Less than $400K
438,D,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,8,$1.2M to $1.6M
439,I,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Below 1500,10,$1.2M to $1.6M
440,H,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,2,Less than $400K
441,I,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Below 1500,1,Less than $400K
442,B,San Mateo,Frame,Metal,1985 and Before,Between 3000 and 4000,10,$1.2M to $1.6M
443,C,San Mateo,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,8,Less than $400K
444,B,Sonoma,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,6,$800K to $1.2M
445,C,Solano,Fire Resistive,Metal,2000 and After,Below 1500,7,$1.6M to $2M
446,E,San Francisco,Frame,Wood,1986 to 1999,Between 3000 and 4000,9,Less than $400K
447,F,Santa Clara,Frame,Shingle,1985 and Before,Below 1500,5,$1.6M to $2M
448,B,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,1,$1.6M to $2M
449,E,San Francisco,Frame,Wood,1986 to 1999,Between 3000 and 4000,3,$1.2M to $1.6M
450,D,Napa,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,1,$1.6M to $2M
451,F,Sonoma,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,2,$400K to $800K
452,E,Alameda,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,6,Less than $400K
453,J,San Francisco,Frame,Shingle,1986 to 1999,4000 and Above,4,$1.6M to $2M
454,D,Alameda,Frame,Shingle,2000 and After,Below 1500,1,$800K to $1.2M
455,B,Santa Clara,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,5,Less than $400K
456,G,Sonoma,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,6,$1.2M to $1.6M
457,F,Napa,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,1,$1.2M to $1.6M
458,F,San Francisco,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,6,$1.6M to $2M
459,A,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,2,$800K to $1.2M
460,D,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,4,$1.6M to $2M
461,I,Contra Costa,Frame,Metal,2000 and After,Between 1500 and 3000,6,$1.2M to $1.6M
462,J,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,4,$400K to $800K
463,I,Alameda,Frame,Wood,1985 and Before,Between 1500 and 3000,6,$1.2M to $1.6M
464,I,Alameda,Fire Resistive,Shingle,2000 and After,Below 1500,8,$400K to $800K
465,F,Contra Costa,Frame,Shingle,1986 to 1999,Between 3000 and 4000,6,$400K to $800K
466,C,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,1,$1.2M to $1.6M
467,J,Santa Clara,Frame,Metal,1986 to 1999,Below 1500,6,$1.6M to $2M
468,C,Santa Clara,Fire Resistive,Tile,1986 to 1999,Below 1500,2,$800K to $1.2M
469,A,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,10,$400K to $800K
470,G,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,3,$800K to $1.2M
471,J,San Mateo,Fire Resistive,Wood,1985 and Before,Below 1500,3,$400K to $800K
472,J,San Francisco,Frame,Metal,1985 and Before,Between 3000 and 4000,5,$400K to $800K
473,J,Santa Clara,Fire Resistive,Wood,1985 and Before,4000 and Above,10,$800K to $1.2M
474,C,Marin,Frame,Wood,1985 and Before,Below 1500,3,$1.2M to $1.6M
475,B,Sonoma,Frame,Wood,1985 and Before,Below 1500,2,$400K to $800K
476,B,Alameda,Frame,Wood,1985 and Before,Below 1500,10,$1.6M to $2M
477,C,San Francisco,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,7,Less than $400K
478,J,Santa Clara,Frame,Metal,1985 and Before,Between 1500 and 3000,1,$1.6M to $2M
479,D,Solano,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,10,Less than $400K
480,H,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,5,$1.6M to $2M
481,B,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,4,Less than $400K
482,F,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,2,$800K to $1.2M
483,A,Alameda,Fire Resistive,Tile,1985 and Before,4000 and Above,10,Less than $400K
484,F,Alameda,Fire Resistive,Tile,1985 and Before,4000 and Above,10,Less than $400K
485,J,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,2,$1.6M to $2M
486,A,Santa Clara,Frame,Wood,1985 and Before,Between 3000 and 4000,8,$800K to $1.2M
487,A,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,10,$400K to $800K
488,C,San Francisco,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,5,$1.6M to $2M
489,E,Sonoma,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,2,$400K to $800K
490,J,Alameda,Fire Resistive,Tile,1986 to 1999,4000 and Above,6,$800K to $1.2M
491,G,San Francisco,Frame,Shingle,1986 to 1999,4000 and Above,5,$800K to $1.2M
492,H,San Francisco,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,6,Less than $400K
493,H,San Mateo,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,6,Less than $400K
494,E,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,3,$1.6M to $2M
495,A,Alameda,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,8,Less than $400K
496,C,Santa Clara,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,10,$800K to $1.2M
497,I,San Mateo,Frame,Shingle,1986 to 1999,Below 1500,2,$800K to $1.2M
498,H,San Francisco,Frame,Metal,1986 to 1999,Between 3000 and 4000,3,$800K to $1.2M
499,E,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,6,$1.6M to $2M
500,J,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,1,$800K to $1.2M
501,H,Sonoma,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,1,$400K to $800K
502,B,Santa Clara,Frame,Tile,2000 and After,Below 1500,7,$800K to $1.2M
503,E,Santa Clara,Frame,Metal,1986 to 1999,Below 1500,9,$800K to $1.2M
504,I,Solano,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,3,$800K to $1.2M
505,H,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,6,Less than $400K
506,A,San Mateo,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,4,$1.2M to $1.6M
507,H,Santa Clara,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,10,$1.6M to $2M
508,F,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Below 1500,4,$1.2M to $1.6M
509,E,Contra Costa,Frame,Tile,1985 and Before,4000 and Above,2,$1.6M to $2M
510,C,Santa Clara,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,3,$1.2M to $1.6M
511,F,Contra Costa,Frame,Shingle,2000 and After,Between 1500 and 3000,9,$800K to $1.2M
512,D,San Francisco,Fire Resistive,Tile,1985 and Before,4000 and Above,3,$800K to $1.2M
513,J,Sonoma,Frame,Tile,2000 and After,Below 1500,9,$1.6M to $2M
514,F,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,4,Less than $400K
515,C,San Francisco,Frame,Shingle,2000 and After,Between 1500 and 3000,5,$1.2M to $1.6M
516,B,San Francisco,Frame,Metal,1985 and Before,Below 1500,5,$800K to $1.2M
