policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value, claim_amounts 
266,E,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,6,$1.6M to $2M,
267,A,Santa Clara,Frame,Tile,1986 to 1999,Between 1500 and 3000,9,$800K to $1.2M,
268,H,Alameda,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,10,Less than $400K,
269,D,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,9,$1.6M to $2M,
270,I,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,9,$1.6M to $2M," $155,133.24 "
271,B,San Francisco,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,5,Less than $400K,
272,B,San Francisco,Frame,Wood,1985 and Before,Between 1500 and 3000,1,$800K to $1.2M," $99,235.01 "
273,F,Alameda,Frame,Metal,1985 and Before,Between 1500 and 3000,8,Less than $400K,
274,A,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,9,$800K to $1.2M,
275,J,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,7,$1.2M to $1.6M,
276,I,Marin,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,2,$1.2M to $1.6M," $125,382.00 "
277,J,Alameda,Fire Resistive,Metal,2000 and After,4000 and Above,2,$400K to $800K,
278,C,Santa Clara,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,5,$800K to $1.2M," $112,149.49 "
279,J,Santa Clara,Frame,Shingle,2000 and After,Below 1500,6,$1.2M to $1.6M,
280,E,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,9,$1.6M to $2M,
281,A,San Francisco,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,1,Less than $400K,
282,H,Alameda,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,10,Less than $400K,
283,A,San Francisco,Fire Resistive,Tile,1986 to 1999,4000 and Above,9,$1.6M to $2M,
284,E,San Francisco,Fire Resistive,Shingle,2000 and After,4000 and Above,10,$1.6M to $2M,
285,B,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,4,Less than $400K,
286,G,Alameda,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,5,$400K to $800K,
287,F,Santa Clara,Fire Resistive,Wood,2000 and After,Below 1500,1,$1.6M to $2M,
288,A,Napa,Frame,Tile,2000 and After,Below 1500,2,$800K to $1.2M,
289,A,Contra Costa,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,3,$800K to $1.2M,
290,H,Alameda,Fire Resistive,Metal,1986 to 1999,4000 and Above,8,Less than $400K,
291,A,San Mateo,Fire Resistive,Metal,2000 and After,4000 and Above,10,Less than $400K,
292,J,Santa Clara,Frame,Wood,1985 and Before,Below 1500,1,$800K to $1.2M,
293,F,Solano,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M,
294,F,Contra Costa,Frame,Tile,1985 and Before,Between 3000 and 4000,8,$800K to $1.2M,
295,D,San Francisco,Frame,Shingle,1986 to 1999,4000 and Above,1,$1.6M to $2M,
296,A,Santa Clara,Frame,Tile,2000 and After,4000 and Above,2,$1.2M to $1.6M,
297,B,San Mateo,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,1,$400K to $800K," $84,595.50 "
298,H,San Mateo,Fire Resistive,Metal,1985 and Before,4000 and Above,5,$800K to $1.2M," $90,052.06 "
299,I,Santa Clara,Frame,Wood,1986 to 1999,4000 and Above,4,$400K to $800K,
300,F,Sonoma,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,9,$1.2M to $1.6M," $133,031.91 "
301,C,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,5,$1.2M to $1.6M,
302,F,Marin,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,2,$1.2M to $1.6M," $122,237.42 "
303,E,San Francisco,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,9,$400K to $800K,
304,F,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,4,$400K to $800K,
305,A,Santa Clara,Fire Resistive,Tile,2000 and After,4000 and Above,7,$1.6M to $2M,
306,G,Alameda,Frame,Tile,1986 to 1999,4000 and Above,4,$1.2M to $1.6M,
307,A,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,5,$400K to $800K," $134,353.32 "
308,D,Alameda,Frame,Metal,2000 and After,Between 3000 and 4000,9,$800K to $1.2M," $164,571.26 "
309,A,Contra Costa,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,2,$1.6M to $2M," $170,959.26 "
310,D,San Mateo,Non-Combustible Masonry,Metal,2000 and After,Below 1500,10,$1.2M to $1.6M,
311,I,Sonoma,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,1,$1.2M to $1.6M,
312,B,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,5,$1.6M to $2M,
313,F,Solano,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,3,$800K to $1.2M,
314,I,Sonoma,Fire Resistive,Wood,2000 and After,Below 1500,1,Less than $400K,
315,F,Alameda,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,1,$1.2M to $1.6M," $182,049.52 "
316,B,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,3,$400K to $800K,
317,F,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,4,Less than $400K,
318,H,Santa Clara,Fire Resistive,Metal,2000 and After,Below 1500,4,$1.6M to $2M,
319,C,Solano,Frame,Tile,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M,
320,B,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,2,$400K to $800K,
321,J,Santa Clara,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,4,Less than $400K,
322,G,Alameda,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,6,$800K to $1.2M,
323,G,Santa Clara,Frame,Wood,1986 to 1999,Between 3000 and 4000,10,Less than $400K," $67,606.68 "
324,C,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,4,$1.2M to $1.6M,
325,B,Santa Clara,Fire Resistive,Wood,1985 and Before,Below 1500,1,$1.6M to $2M,
326,I,Alameda,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,5,$800K to $1.2M,
327,I,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,6,$800K to $1.2M,
328,I,Alameda,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,9,$800K to $1.2M,
329,H,San Mateo,Fire Resistive,Wood,1985 and Before,4000 and Above,7,Less than $400K,
330,J,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,4,$1.2M to $1.6M,
331,F,Santa Clara,Fire Resistive,Shingle,1985 and Before,4000 and Above,8,$800K to $1.2M,
332,H,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,2,$1.6M to $2M,
333,G,Sonoma,Frame,Tile,1985 and Before,Between 3000 and 4000,2,$1.2M to $1.6M," $148,465.22 "
334,G,Alameda,Frame,Shingle,1986 to 1999,Between 1500 and 3000,7,Less than $400K,
335,E,San Francisco,Fire Resistive,Metal,1985 and Before,4000 and Above,5,Less than $400K," $35,339.42 "
336,J,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,8,Less than $400K,
337,D,Solano,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,2,$800K to $1.2M,
338,H,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,1,$1.6M to $2M,
339,B,Alameda,Fire Resistive,Tile,2000 and After,Below 1500,9,$1.6M to $2M,
340,H,San Mateo,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,6,$400K to $800K," $82,158.20 "
341,B,Solano,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,9,$1.6M to $2M,
342,D,Marin,Frame,Shingle,1985 and Before,4000 and Above,7,$1.2M to $1.6M,
343,H,San Francisco,Frame,Metal,1985 and Before,4000 and Above,6,$1.2M to $1.6M,
344,H,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,9,$400K to $800K,
345,E,San Francisco,Frame,Shingle,1986 to 1999,Below 1500,1,$1.2M to $1.6M,
346,I,Sonoma,Fire Resistive,Metal,1986 to 1999,Below 1500,3,$1.6M to $2M,
347,J,San Mateo,Frame,Tile,2000 and After,Below 1500,9,$1.2M to $1.6M,
348,E,Alameda,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,4,$400K to $800K,
349,C,Sonoma,Frame,Wood,1985 and Before,4000 and Above,9,$1.2M to $1.6M,
350,F,Contra Costa,Fire Resistive,Tile,1986 to 1999,4000 and Above,5,$1.6M to $2M," $163,036.90 "
351,J,San Mateo,Fire Resistive,Metal,2000 and After,Below 1500,6,$800K to $1.2M,
352,I,Solano,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,5,$800K to $1.2M," $172,456.64 "
353,J,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,4,$1.6M to $2M," $234,395.95 "
354,D,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,2,$1.2M to $1.6M,
355,B,Santa Clara,Fire Resistive,Shingle,1985 and Before,Below 1500,6,$400K to $800K," $83,057.46 "
356,H,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,3,$1.6M to $2M," $162,891.37 "
357,F,Santa Clara,Frame,Tile,1985 and Before,Between 1500 and 3000,1,$1.2M to $1.6M,
358,G,Contra Costa,Fire Resistive,Tile,2000 and After,4000 and Above,7,$800K to $1.2M,
359,C,Marin,Frame,Wood,2000 and After,Between 3000 and 4000,8,$800K to $1.2M,
360,H,Solano,Frame,Wood,1986 to 1999,Between 3000 and 4000,6,$1.2M to $1.6M,
361,F,San Francisco,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,4,$400K to $800K,
362,B,Sonoma,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,7,$400K to $800K," $105,342.92 "
363,I,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,5,$1.6M to $2M,
364,C,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,9,$1.6M to $2M,
365,H,Alameda,Fire Resistive,Metal,2000 and After,Below 1500,1,$800K to $1.2M,
366,H,Contra Costa,Fire Resistive,Wood,1986 to 1999,Below 1500,3,$1.6M to $2M,
367,E,Alameda,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,3,Less than $400K," $70,774.27 "
368,D,Alameda,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,7,$400K to $800K," $114,969.53 "
369,E,Solano,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,7,$1.2M to $1.6M,
370,G,Sonoma,Frame,Wood,2000 and After,Between 3000 and 4000,6,$400K to $800K,
371,F,San Mateo,Fire Resistive,Shingle,1986 to 1999,Below 1500,4,$400K to $800K," $76,681.78 "
372,H,Solano,Frame,Shingle,2000 and After,Between 3000 and 4000,4,Less than $400K,
373,G,San Francisco,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,4,$1.6M to $2M,
374,H,San Mateo,Frame,Shingle,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M,
375,B,Santa Clara,Frame,Wood,2000 and After,Between 1500 and 3000,10,$1.6M to $2M,
376,J,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,6,Less than $400K,
377,J,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,4,$400K to $800K,
378,F,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,6,$400K to $800K,
379,E,Sonoma,Frame,Metal,1985 and Before,Between 1500 and 3000,1,$800K to $1.2M,
380,A,Santa Clara,Fire Resistive,Metal,2000 and After,Below 1500,5,$1.2M to $1.6M,
381,E,San Francisco,Frame,Wood,1986 to 1999,4000 and Above,1,$800K to $1.2M,
382,A,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,8,Less than $400K,
383,H,Napa,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,4,$1.6M to $2M," $170,999.91 "
384,F,San Mateo,Fire Resistive,Metal,2000 and After,4000 and Above,6,$800K to $1.2M,
385,B,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,3,$1.6M to $2M," $217,150.05 "
386,J,Contra Costa,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,1,$800K to $1.2M," $103,212.93 "
387,E,San Francisco,Fire Resistive,Metal,1986 to 1999,4000 and Above,8,$800K to $1.2M,
388,G,Santa Clara,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,8,$1.2M to $1.6M,
389,B,Alameda,Fire Resistive,Shingle,1985 and Before,4000 and Above,1,$1.2M to $1.6M," $208,010.44 "
390,E,Alameda,Frame,Tile,2000 and After,Between 1500 and 3000,4,$400K to $800K,
391,J,San Mateo,Frame,Tile,2000 and After,Between 3000 and 4000,2,$800K to $1.2M," $99,984.47 "
392,J,San Francisco,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,10,$800K to $1.2M,
393,A,Alameda,Frame,Wood,2000 and After,4000 and Above,8,$800K to $1.2M,
394,B,San Mateo,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,6,$1.2M to $1.6M,
395,J,San Francisco,Fire Resistive,Metal,1985 and Before,Below 1500,8,$800K to $1.2M,
396,H,San Mateo,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,4,$1.2M to $1.6M," $130,108.58 "
397,B,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,10,$1.6M to $2M,
398,A,Santa Clara,Frame,Metal,2000 and After,Below 1500,6,$1.6M to $2M,
399,C,Alameda,Frame,Tile,2000 and After,Below 1500,1,Less than $400K," $89,914.01 "
400,A,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,3,Less than $400K,
401,D,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,1,Less than $400K,
402,H,Alameda,Frame,Wood,2000 and After,4000 and Above,3,Less than $400K," $105,014.48 "
403,E,Solano,Frame,Shingle,1985 and Before,4000 and Above,10,Less than $400K,
404,A,Alameda,Non-Combustible Masonry,Wood,2000 and After,Below 1500,2,$400K to $800K,
405,B,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,5,$1.2M to $1.6M,
406,C,Santa Clara,Frame,Metal,1986 to 1999,4000 and Above,3,$1.6M to $2M,
407,C,Santa Clara,Frame,Wood,1985 and Before,Below 1500,9,$1.2M to $1.6M," $164,654.04 "
408,G,Santa Clara,Frame,Wood,2000 and After,Below 1500,4,$1.6M to $2M,
409,H,Contra Costa,Frame,Tile,2000 and After,Between 1500 and 3000,1,$400K to $800K,
410,D,Alameda,Frame,Tile,1986 to 1999,Below 1500,9,$1.2M to $1.6M,
411,E,San Mateo,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,10,$1.2M to $1.6M," $153,988.64 "
412,G,San Mateo,Frame,Wood,1986 to 1999,Between 1500 and 3000,10,$800K to $1.2M,
413,I,Alameda,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,1,$1.2M to $1.6M,
414,I,San Mateo,Frame,Wood,2000 and After,Below 1500,6,$1.2M to $1.6M,
415,G,Alameda,Frame,Shingle,2000 and After,Between 3000 and 4000,3,$800K to $1.2M,
416,F,San Francisco,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,2,$800K to $1.2M,
417,G,San Francisco,Frame,Metal,1986 to 1999,Between 1500 and 3000,3,$1.2M to $1.6M,
418,E,Napa,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,2,$1.6M to $2M,
419,D,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,2,Less than $400K,
420,A,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,2,$800K to $1.2M,
421,F,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M,
422,I,Alameda,Fire Resistive,Shingle,2000 and After,Below 1500,3,$1.6M to $2M,
423,C,Alameda,Frame,Wood,1985 and Before,4000 and Above,1,$400K to $800K,
424,B,Solano,Frame,Tile,1985 and Before,Between 3000 and 4000,2,$400K to $800K," $124,366.91 "
425,I,Alameda,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M,
426,B,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,2,$400K to $800K," $135,121.92 "
427,B,San Mateo,Fire Resistive,Tile,1985 and Before,4000 and Above,5,$1.6M to $2M,
428,H,Alameda,Fire Resistive,Wood,1986 to 1999,4000 and Above,2,$400K to $800K,
429,C,Santa Clara,Frame,Wood,2000 and After,Between 3000 and 4000,3,$800K to $1.2M,
430,B,Alameda,Frame,Wood,2000 and After,Between 3000 and 4000,8,$1.2M to $1.6M," $224,152.91 "
431,I,Alameda,Fire Resistive,Metal,2000 and After,4000 and Above,2,$400K to $800K,
432,G,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,5,$1.2M to $1.6M," $178,112.04 "
433,B,Santa Clara,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,5,$1.2M to $1.6M,
434,E,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,6,$1.2M to $1.6M,
435,D,Alameda,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,8,Less than $400K," $65,841.57 "
436,C,San Mateo,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,1,$1.2M to $1.6M,
437,J,Alameda,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,2,Less than $400K,
438,D,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,8,$1.2M to $1.6M,
439,I,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Below 1500,10,$1.2M to $1.6M,
440,H,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,2,Less than $400K,
441,I,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Below 1500,1,Less than $400K,
442,B,San Mateo,Frame,Metal,1985 and Before,Between 3000 and 4000,10,$1.2M to $1.6M," $140,150.27 "
443,C,San Mateo,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,8,Less than $400K,
444,B,Sonoma,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,6,$800K to $1.2M,
445,C,Solano,Fire Resistive,Metal,2000 and After,Below 1500,7,$1.6M to $2M,
446,E,San Francisco,Frame,Wood,1986 to 1999,Between 3000 and 4000,9,Less than $400K,
447,F,Santa Clara,Frame,Shingle,1985 and Before,Below 1500,5,$1.6M to $2M,
448,B,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,1,$1.6M to $2M," $220,787.52 "
449,E,San Francisco,Frame,Wood,1986 to 1999,Between 3000 and 4000,3,$1.2M to $1.6M," $141,732.70 "
450,D,Napa,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,1,$1.6M to $2M,
451,F,Sonoma,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,2,$400K to $800K," $249,750.09 "
452,E,Alameda,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,6,Less than $400K," $64,361.23 "
453,J,San Francisco,Frame,Shingle,1986 to 1999,4000 and Above,4,$1.6M to $2M,
454,D,Alameda,Frame,Shingle,2000 and After,Below 1500,1,$800K to $1.2M,
455,B,Santa Clara,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,5,Less than $400K," $42,621.11 "
456,G,Sonoma,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,6,$1.2M to $1.6M," $151,131.30 "
457,F,Napa,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,1,$1.2M to $1.6M,
458,F,San Francisco,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,6,$1.6M to $2M,
459,A,San Mateo,Non-Combustible Masonry,Wood,2000 and After,Between 3000 and 4000,2,$800K to $1.2M,
460,D,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,4,$1.6M to $2M,
461,I,Contra Costa,Frame,Metal,2000 and After,Between 1500 and 3000,6,$1.2M to $1.6M," $158,383.55 "
462,J,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,4,$400K to $800K,
463,I,Alameda,Frame,Wood,1985 and Before,Between 1500 and 3000,6,$1.2M to $1.6M,
464,I,Alameda,Fire Resistive,Shingle,2000 and After,Below 1500,8,$400K to $800K,
465,F,Contra Costa,Frame,Shingle,1986 to 1999,Between 3000 and 4000,6,$400K to $800K," $94,416.31 "
466,C,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,1,$1.2M to $1.6M,
467,J,Santa Clara,Frame,Metal,1986 to 1999,Below 1500,6,$1.6M to $2M,
468,C,Santa Clara,Fire Resistive,Tile,1986 to 1999,Below 1500,2,$800K to $1.2M,
469,A,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,10,$400K to $800K," $129,162.79 "
470,G,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,3,$800K to $1.2M,
471,J,San Mateo,Fire Resistive,Wood,1985 and Before,Below 1500,3,$400K to $800K," $80,315.57 "
472,J,San Francisco,Frame,Metal,1985 and Before,Between 3000 and 4000,5,$400K to $800K,
473,J,Santa Clara,Fire Resistive,Wood,1985 and Before,4000 and Above,10,$800K to $1.2M,
474,C,Marin,Frame,Wood,1985 and Before,Below 1500,3,$1.2M to $1.6M,
475,B,Sonoma,Frame,Wood,1985 and Before,Below 1500,2,$400K to $800K,
476,B,Alameda,Frame,Wood,1985 and Before,Below 1500,10,$1.6M to $2M," $267,635.74 "
477,C,San Francisco,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,7,Less than $400K,
478,J,Santa Clara,Frame,Metal,1985 and Before,Between 1500 and 3000,1,$1.6M to $2M,
479,D,Solano,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,10,Less than $400K,
480,H,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Below 1500,5,$1.6M to $2M," $164,399.32 "
481,B,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,4,Less than $400K," $40,517.53 "
482,F,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,2,$800K to $1.2M,
483,A,Alameda,Fire Resistive,Tile,1985 and Before,4000 and Above,10,Less than $400K," $57,445.70 "
484,F,Alameda,Fire Resistive,Tile,1985 and Before,4000 and Above,10,Less than $400K,
485,J,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,2,$1.6M to $2M,
486,A,Santa Clara,Frame,Wood,1985 and Before,Between 3000 and 4000,8,$800K to $1.2M," $136,629.40 "
487,A,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,10,$400K to $800K,
488,C,San Francisco,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,5,$1.6M to $2M,
